X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS
-85.5859083153993,33.7350556584073,24549,AL3372508558120180316,Initial,A16SFC20180209_30m,A16SFC20180331_30m,-970,80,9999,9999,33.74,-85.587,Prescribed Fire,HOUCK CREEK,-150,2018/03/16 00:00:00+00,3186,,10015966,MTBS,,41,19,
-85.5616620132186,33.7489360992688,24550,AL3374108556920180403,Initial,A16SFC20180331_30m,A16SFC20180410_30m,-970,10,9999,9999,33.75,-85.565,Prescribed Fire,UNNAMED,-150,2018/04/03 00:00:00+00,2165,,10015976,MTBS,,-31,19,
-85.5780917570213,33.7691710099301,24551,AL3376908557920180430,Initial,A16SFC20180420_30m,A16SFC20180510_30m,-970,-15,9999,9999,33.767,-85.579,Prescribed Fire,UNNAMED,-150,2018/04/30 00:00:00+00,874,,10016021,MTBS,,-38,31,
-87.2350085276245,34.2213985367126,24552,AL3422008723720180430,Initial,A16SDC20170508_30m,B16SDC20180508_30m,-970,25,9999,9999,34.222,-87.235,Prescribed Fire,UNNAMED,-150,2018/04/30 00:00:00+00,826,,10014545,MTBS,,-4,13,
-87.2523791945644,34.2391046276695,24553,AL3424108725320180315,Initial,A16SDC20180314_30m,B16SDC20180408_30m,-970,-15,9999,9999,34.238,-87.253,Prescribed Fire,BK BRUSHY WEST,-150,2018/03/15 00:00:00+00,975,9E9D90BD-DB37-498E-BAD6-E5177A97AC82,10014502,MTBS,,-59,29,Revised and edited perimeter. 10/01/2020 WR
-87.1460934780094,34.3329887313223,24554,AL3433508714720180410,Initial,A16SDD20180314_30m,A16SDD20180413_30m,-970,-70,9999,9999,34.331,-87.145,Prescribed Fire,UNNAMED,-150,2018/04/10 00:00:00+00,1084,,10014528,MTBS,,-88,31,Revised and Edited 10/01/2020  - added mask - WR
-87.3221196637618,34.349908034689,24555,AL3434908732220180410,Initial,A16SDD20180314_30m,A16SDD20180413_30m,-970,-35,9999,9999,34.352,-87.321,Prescribed Fire,UNNAMED,-150,2018/04/10 00:00:00+00,1826,,10014530,MTBS,,-42,47,
-87.2974771997419,34.3658856109757,24556,AL3436408729620180312,Initial,802103620180208,802103620180312,-970,115,9999,9999,34.368,-87.298,Unknown,UNNAMED,-150,2018/03/12 00:00:00+00,2264,,10014533,MTBS,,81,17,
-87.5328760573696,34.3859274225241,24557,AL3439708752120180412,Initial,A16SDD20180314_30m,A16SDD20180413_30m,-970,-40,9999,9999,34.386,-87.534,Prescribed Fire,UNNAMED,-150,2018/04/12 00:00:00+00,641,,10014522,MTBS,,-64,31,
-87.5074941510421,34.3999237914309,24558,AL3439808750620180304,Initial,802103620180208,802103620180312,-970,110,9999,9999,34.399,-87.508,Prescribed Fire,UNNAMED,-150,2018/03/04 00:00:00+00,1004,,10014534,MTBS,,66,22,
-85.5771488946129,34.4289137837258,24559,AL3443308557520180315,Initial,A16SFD20170316_30m,A16SFD20180331_30m,-970,20,9999,9999,34.429,-85.581,Prescribed Fire,NORTHEAST COMPLEX FY18,-150,2018/03/15 00:00:00+00,614,,10015981,MTBS,,36,14,
-93.8791218619836,34.4018692316476,24560,AR3440409387920180307,Initial,A15SVU20180303_30m,A15SVU20180313_30m,-970,45,9999,9999,34.4,-93.879,Prescribed Fire,UNNAMED,-150,2018/03/07 00:00:00+00,985,,10013813,MTBS,,3,12,
-93.3721119536258,34.4163557424088,24561,AR3441809338320180312,Initial,A15SVU20180208_30m,B15SVU20180315_30m,-970,80,9999,9999,34.418,-93.373,Prescribed Fire,UNNAMED,-150,2018/03/12 00:00:00+00,905,,10013912,MTBS,,29,11,
-93.3828937399287,34.4381944891073,24562,AR3444309338220180321,Initial,B15SVU20180315_30m,B15SVU20180404_30m,-970,-9999,9999,9999,34.438,-93.381,Prescribed Fire,UNNAMED,-150,2018/03/21 00:00:00+00,2059,,10013929,MTBS,,-44,26,
-93.4069156796678,34.504101379636,24563,AR3450609339520180313,Initial,A15SVU20180208_30m,B15SVU20180315_30m,-970,75,9999,9999,34.504,-93.403,Prescribed Fire,UNNAMED,-150,2018/03/13 00:00:00+00,1992,,10015968,MTBS,,50,14,
-93.4621551245639,34.5225475716505,24564,AR3452009346220180320,Initial,B15SVU20180315_30m,B15SVU20180404_30m,-970,-9999,9999,9999,34.524,-93.461,Prescribed Fire,UNNAMED,-150,2018/03/20 00:00:00+00,2778,,10013922,MTBS,,-8,23,
-93.4643811748763,34.5934016200768,24565,AR3459309347520180309,Initial,A15SVU20180208_30m,B15SVU20180315_30m,-970,70,9999,9999,34.589,-93.453,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,3251,,10015958,MTBS,,47,14,
-93.5279886636997,34.6223044446762,24566,AR3462409352920180314,Initial,A15SVU20180303_30m,B15SVU20180404_30m,-970,40,9999,9999,34.623,-93.524,Prescribed Fire,UNNAMED,-150,2018/03/14 00:00:00+00,1154,,10013859,MTBS,,27,28,
-90.6816580092898,34.6714637648063,24567,AR3466409068020180309,Initial,B15SYU20180302_30m,B15SYU20180312_30m,-970,15,9999,9999,34.675,-90.683,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,599,,10015187,MTBS,,-2,17,
-94.2049260212703,34.7338563725317,24568,AR3473509420320180309,Initial,A15SUU20180303_30m,A15SUU20180313_30m,-970,45,9999,9999,34.733,-94.203,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,677,,10013835,MTBS,,17,17,
-93.6369549078941,34.7598764748102,24569,AR3474709363020180324,Initial,A15SVU20180313_30m,B15SVU20180404_30m,-970,50,9999,9999,34.761,-93.638,Prescribed Fire,UNNAMED,-150,2018/03/24 00:00:00+00,5396,,10013905,MTBS,,31,26,
-93.6444040186384,34.8005865381826,24570,AR3480009364420180313,Initial,A15SVU20180303_30m,B15SVU20180404_30m,-970,75,9999,9999,34.801,-93.646,Prescribed Fire,UNNAMED,-150,2018/03/13 00:00:00+00,957,,10013883,MTBS,,11,38,
-93.6529951566247,34.8109674777509,24571,AR3480809365520180308,Initial,A15SVU20180303_30m,B15SVU20180404_30m,-970,75,9999,9999,34.814,-93.652,Prescribed Fire,UNNAMED,-150,2018/03/08 00:00:00+00,1266,,10013878,MTBS,,34,37,"Separated this fire from the fire just to the south. Two different fires, two diffeent FOD points."
-93.6897768482691,34.8240073035127,24572,AR3482309369120180312,Initial,A15SVU20180303_30m,B15SVU20180404_30m,-970,85,9999,9999,34.825,-93.692,Prescribed Fire,UNNAMED,-150,2018/03/12 00:00:00+00,1462,,10013843,MTBS,,12,24,"Fire just to the north is not part of this fire, it is the bogus ridge fire. They were mapped seperately, delineated by geomac perimeter for bogus ridge."
-93.6903646776995,34.8426557850141,24573,AR3483509369420180322,Initial,A15SVU20180313_30m,B15SVU20180404_30m,-970,40,9999,9999,34.842,-93.69,Wildfire,BOGUS RIDGE,-150,2018/03/22 00:00:00+00,820,0422A512-60D5-41AA-9868-F863BABE4FE2,10013846,MTBS,,29,28,modified geomac perimeter. Fire to the south was not parrt of bogus ridge fire and was mapped seperately. The two fires were delineated based on bogus ridge periemter.
-93.0798053262126,34.9013715014493,24574,AR3489809308320180313,Initial,A15SVU20180208_30m,A15SVU20180330_30m,-970,80,9999,9999,34.903,-93.084,Prescribed Fire,UNNAMED,-150,2018/03/13 00:00:00+00,1730,,10013914,MTBS,,27,21,
-93.6908643476662,34.9276795280609,24575,AR3492809368720180309,Initial,A15SVU20180303_30m,A15SVU20180313_30m,-970,45,9999,9999,34.927,-93.693,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,1872,,10013849,MTBS,,25,22,
-93.5134321454126,34.9547571674589,24576,AR3495409350720180309,Initial,A15SVU20180303_30m,A15SVU20180313_30m,-970,50,9999,9999,34.955,-93.511,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,1932,,10013856,MTBS,,15,13,
-94.1592545809231,34.9758627371431,24577,AR3497109415320180202,Initial,B15SUU20180117_30m,B15SUU20180226_30m,-970,75,9999,9999,34.976,-94.163,Wildfire,MIDNIGHT,-150,2018/02/02 00:00:00+00,1057,FDAE675B-2EF5-4D7F-AFEE-D4FF2A0D73C0,10013837,MTBS,,18,13,geomac perimeter
-93.5604239783788,35.0484912139684,24578,AR3504709355920180320,Initial,A15SVU20180313_30m,B15SVU20180404_30m,-970,55,9999,9999,35.048,-93.562,Prescribed Fire,UNNAMED,-150,2018/03/20 00:00:00+00,1385,,10013839,MTBS,,38,25,
-93.4489791396059,35.1759441952378,24579,AR3517609344920180313,Initial,B15SVV20180308_30m,B15SVV20180315_30m,-970,20,9999,9999,35.174,-93.451,Prescribed Fire,UNNAMED,-150,2018/03/13 00:00:00+00,1608,,10013874,MTBS,,-10,18,
-93.4561213337148,35.207469116838,24580,AR3521809344520180316,Initial,B15SVV20180315_30m,B15SVV20180404_30m,-970,30,9999,9999,35.207,-93.454,Prescribed Fire,UNNAMED,-150,2018/03/16 00:00:00+00,3122,,10013872,MTBS,,9,23,"Fire to the S of this fire was not part- mapped separately. Some areas of this fire must have burned prior to the recording of this fire, Barren areas had the hgihest dNBR values. These barren areas are in what look to be well defined polygons- suggests"
-92.7705609105342,35.4517707583097,24581,AR3545809277320180309,Initial,A15SWV20180208_30m,B15SWV20180315_30m,-970,90,270,9999,35.45,-92.77,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,1565,,10014822,MTBS,,51,41,
-92.8565948701267,35.4586975735455,24582,AR3545809285620180124,Initial,B15SWV20180104_30m,A15SWV20180208_30m,-970,60,9999,9999,35.459,-92.858,Prescribed Fire,UNNAMED,-150,2018/01/24 00:00:00+00,1037,,10014818,MTBS,,-12,21,
-92.8030246901368,35.4642535751311,24583,AR3546609280320180125,Initial,B15SWV20180104_30m,A15SWV20180208_30m,-970,40,9999,9999,35.46,-92.803,Prescribed Fire,UNNAMED,-150,2018/01/25 00:00:00+00,1257,,10014821,MTBS,,-25,17,
-92.846596156093,35.4819999864153,24584,AR3548409284220180313,Initial,802503520160403,802503520180409,-970,70,9999,9999,35.48,-92.844,Prescribed Fire,UNNAMED,-150,2018/03/13 00:00:00+00,1225,,10014057,MTBS,,27,13,
-92.7813522553409,35.4928679225589,24585,AR3549009278220180119,Initial,802403520171227,802403520180128,-970,42,9999,9999,35.494,-92.781,Prescribed Fire,UNNAMED,-150,2018/01/19 00:00:00+00,779,,10014059,MTBS,,-39,23,
-92.8100166649991,35.4922775870887,24586,AR3549809282020180125,Initial,B15SWV20180124_30m,A15SWV20180208_30m,-970,20,9999,9999,35.495,-92.8,Prescribed Fire,RXBURN,-150,2018/01/25 00:00:00+00,1875,,10016033,MTBS,,-5,25,
-93.0720758316559,35.5255945258973,24587,AR3551609307220180317,Initial,802503520180308,802503520180409,-970,10,9999,9999,35.525,-93.071,Prescribed Fire,UNNAMED,-150,2018/03/17 00:00:00+00,2424,,10014063,MTBS,,-8,27,
-93.3239616425944,35.5892173867615,24588,AR3558909332520180308,Initial,802503520160302,802503520180409,-970,55,300,9999,35.587,-93.327,Prescribed Fire,UNNAMED,-150,2018/03/08 00:00:00+00,1372,,10015977,MTBS,,-2,24,
-93.2735244413899,35.5930128478947,24589,AR3559309327020180205,Initial,B15SVV20180124_30m,A15SVV20180208_30m,-970,50,9999,9999,35.59,-93.269,Prescribed Fire,UNNAMED,-150,2018/02/05 00:00:00+00,1252,,10014739,MTBS,,9,14,
-94.4117084115622,35.6057176610568,24590,AR3560409441420180303,Initial,802603520160325,802603520180315,-970,55,9999,9999,35.605,-94.411,Prescribed Fire,UNNAMED,-150,2018/03/03 00:00:00+00,889,,10013994,MTBS,,33,12,
-93.3794712431781,35.613598538647,24591,AR3562009338020180411,Initial,B15SVV20180404_30m,B15SVV20180417_30m,-970,-9999,9999,9999,35.615,-93.378,Prescribed Fire,UNNAMED,-150,2018/04/11 00:00:00+00,1464,,10014074,MTBS,,-23,11,
-93.7654111827458,35.6513783900156,24592,AR3563609377220180315,Initial,802503520180308,802503520180409,-970,-9999,9999,9999,35.648,-93.765,Prescribed Fire,UNNAMED,-150,2018/03/15 00:00:00+00,3910,,10014076,MTBS,,-14,8,
-93.9896215878146,35.6450698989393,24593,AR3564809399420180321,Initial,802503520160403,802503520180409,-970,60,9999,9999,35.644,-93.987,Prescribed Fire,RX - HARD BURR,-150,2018/03/21 00:00:00+00,1990,5BF507CB-C451-4284-A227-81FB23743BE3,10014032,MTBS,,35,17,
-93.2612429552583,35.6505626022472,24594,AR3565109326120180307,Initial,802503520180119,802503520180308,-970,85,9999,9999,35.655,-93.262,Prescribed Fire,UNNAMED,-150,2018/03/07 00:00:00+00,4118,,10014079,MTBS,,43,14,
-94.0049925710706,35.6884786302201,24595,AR3568009402020180314,Initial,802503520180308,802503520180409,-970,-10,9999,9999,35.683,-94.004,Prescribed Fire,UNNAMED,-150,2018/03/14 00:00:00+00,3100,,10014080,MTBS,,-28,18,
-92.9261442132458,35.7443352899254,24596,AR3569909294520180303,Initial,802503520180119,802503520180308,-970,75,300,9999,35.743,-92.929,Prescribed Fire,UNNAMED,-150,2018/03/03 00:00:00+00,9226,,10014081,MTBS,,42,8,
-94.2666746929066,35.7501394257628,24597,AR3574809427220180308,Initial,802603520160325,802603520180315,-970,70,9999,9999,35.752,-94.265,Prescribed Fire,UNNAMED,-150,2018/03/08 00:00:00+00,2776,,10013995,MTBS,,21,12,
-93.5086005164759,35.7625795481505,24598,AR3576009351020180410,Initial,B15SVV20180404_30m,A15SVV20180412_30m,-970,20,9999,9999,35.765,-93.508,Prescribed Fire,UNNAMED,-150,2018/04/10 00:00:00+00,724,,10014082,MTBS,,-22,11,
-92.1823604443439,35.9616372594857,24599,AR3596009217220180315,Initial,802503520180308,802503520180409,-970,10,9999,9999,35.964,-92.181,Prescribed Fire,UNNAMED,-150,2018/03/15 00:00:00+00,2138,,10014916,MTBS,,-29,13,
-92.1133601322887,36.0118787492554,24600,AR3602309211820180209,Initial,B15SWV20180124_30m,B15SWV20180315_30m,-970,95,325,9999,36.013,-92.112,Prescribed Fire,UNNAMED,-150,2018/02/09 00:00:00+00,1654,,10014918,MTBS,,49,27,
-92.6705368092091,36.0555525034848,24601,AR3606009267020180412,Initial,A15SWV20180409_30m,B15SWV20180424_30m,-970,10,9999,9999,36.056,-92.671,Wildfire,TOMAHAWK,-150,2018/04/12 00:00:00+00,533,164EA8F0-87FA-43AB-8811-48CDA2BF49AF,10014744,MTBS,,-41,73,
-92.3348352059453,36.0752000384552,24602,AR3607709233720180309,Initial,802503520180308,802503520180409,-970,50,9999,9999,36.075,-92.339,Prescribed Fire,UNNAMED,-150,2018/03/09 00:00:00+00,4873,,10014934,MTBS,,-15,19,
-94.3792189282789,36.1043160060191,24603,AR3609909438320180303,Initial,802603520160325,802603520180315,-970,75,9999,9999,36.107,-94.378,Prescribed Fire,UNNAMED,-150,2018/03/03 00:00:00+00,1198,,10014007,MTBS,,19,15,
-94.4036108618492,36.132088405852,24604,AR3613809440720180202,Initial,B15SUA20180127_30m,B15SUA20180226_30m,-970,95,9999,9999,36.13,-94.404,Prescribed Fire,UNNAMED,-150,2018/02/02 00:00:00+00,902,,10014010,MTBS,,25,23,
-111.454653358766,31.4679741509522,24605,AZ3146411144720180705,Initial,B12RVV20180624_30m,A12RVV20180709_30m,-970,35,185,9999,31.467,-111.458,Wildfire,CUMERO,-150,2018/07/05 00:00:00+00,4332,CA3B2956-92B5-4008-BA5F-15217879F655,10014196,MTBS,,-20,9,No cloud free post imagery available. L8 and S2 checked.
-109.887157758515,31.5181154409994,24606,AZ3153510989320180607,Initial,803503820180602,803503820180618,-970,50,300,9999,31.523,-109.885,Wildfire,JUDD,-150,2018/06/07 00:00:00+00,4356,91B1E8BC-FC82-4654-A2A4-F55AF4697833,10012771,MTBS,,3,9,
-109.400978941536,31.5445986115446,24607,AZ3154810940620180724,Initial,803503820180704,803503820180805,-970,35,230,365,31.541,-109.401,Wildfire,BRUNO,-150,2018/07/24 00:00:00+00,4165,9B4737EB-0462-4191-A118-D3916B1DC4CF,10014192,MTBS,,-6,21,
-110.510337835464,31.5799201265328,24608,AZ3158811049120181114,Initial,803503820181109,803503820181125,-970,50,280,9999,31.578,-110.513,Wildfire,BABO,-150,2018/11/14 00:00:00+00,2549,9E28779F-AB06-4308-974F-0D13CA835E3B,10012774,MTBS,,12,12,
-111.60327293761,31.7053845356154,24609,AZ3170611160020180208,Initial,803603820170302,803603820180305,-970,80,260,9999,31.705,-111.6,Wildfire,ALTAR,-150,2018/02/08 00:00:00+00,3418,7C64F53F-8B14-42FC-B381-D8D92D153AA8,10014198,MTBS,,29,29,
-110.029361582168,31.9346231851125,24610,AZ3192011006020180210,Initial,803503820180210,803503820180226,-970,110,380,9999,31.933,-110.03,Wildfire,KNOB HILL,-150,2018/02/10 00:00:00+00,2934,B4C48444-6943-4E0A-AE57-6081697E26EA,10012762,MTBS,,50,27,
-109.352675199644,31.9831086144301,24611,AZ3198010937020180512,Initial,803503820180501,803503820180517,-970,50,340,9999,31.982,-109.353,Wildfire,PINERY,-150,2018/05/12 00:00:00+00,1474,7B416F1C-7066-462C-8348-84465C7F330B,10012766,MTBS,,16,11,
-109.980147157894,32.2888015140479,24612,AZ3228010995520180726,Initial,A12SWA20180719_30m,B12SWA20180813_30m,-970,45,9999,9999,32.287,-109.981,Wildfire,WINCHESTER,-150,2018/07/26 00:00:00+00,1946,482DEA3D-1D52-4F2E-BC4F-E2D1AE9A2630,10014195,MTBS,,16,13,
-109.674988999544,33.1978142136877,24613,AZ3321510968220180730,Initial,803503720180720,803503720180805,-970,35,9999,9999,33.199,-109.674,Wildfire,ROSE,-150,2018/07/30 00:00:00+00,1010,58E86DF6-D865-43B6-BDB4-6F3F5453698B,10012850,MTBS,,-20,14,places with highest dnbr values were the most barren. Thresholded out moderate and high severity
-109.457448327388,33.6200172273628,24614,AZ3365610950620180411,Initial,803503720180330,803503720180501,-970,50,175,9999,33.629,-109.445,Wildfire,RATTLESNAKE,-150,2018/04/11 00:00:00+00,27383,6B5A376D-0DFF-4586-A4C7-9A0C60B75100,10012841,MTBS,,27,28,
-111.996028472861,33.9539116328324,24615,AZ3394811199720180727,Initial,803703720180702,803703720180803,-970,10,9999,9999,33.958,-111.995,Wildfire,DAISY,-150,2018/07/27 00:00:00+00,2512,D40D5382-4E6F-4BEC-9F91-074D25903FA3,10012818,MTBS,,-24,17,
-111.097548206216,33.9564472255889,24616,AZ3396511111320180726,Initial,803603720180727,803603720180828,-970,10,220,400,33.959,-111.1,Wildfire,BEARS,-150,2018/07/26 00:00:00+00,5279,557243FA-5B0B-4459-BDDE-04F82B0900F7,10012829,MTBS,,11,12,
-110.286273640896,34.2547170930182,24617,AZ3425711025720180727,Initial,803603620180727,803603620180812,-970,15,9999,9999,34.251,-110.29,Wildfire,HUB POINT,-150,2018/07/27 00:00:00+00,4674,9408D4C7-1B00-4E91-9111-944D6B6435FD,10012839,MTBS,,-20,7,Area of desnser forests that experienced burn likely only experienced understory burn. More recent imagery shows burn scar in denser forest but not a strong one.
-110.461194545337,34.491272974427,24618,AZ3446111050020180604,Initial,803603620180524,803603620180609,-970,35,270,9999,34.513,-110.451,Wildfire,377,-150,2018/06/04 00:00:00+00,4305,2C3CE7B9-C5DF-408F-B9D4-7449FAD90248,10012837,MTBS,,-6,6,
-111.951898409647,34.486119185698,24619,AZ3447411193820180209,Initial,803703620170309,803703620180224,-970,10,137,300,34.485,-111.952,Prescribed Fire,UNNAMED,-150,2018/02/09 00:00:00+00,1445,,10012820,MTBS,,-69,34,
-111.266089240903,34.511161133412,24620,AZ3451711126720181023,Initial,803703620161117,803703620181107,-970,20,160,330,34.502,-111.267,Prescribed Fire,UNNAMED,-150,2018/10/23 00:00:00+00,6881,,10012828,MTBS,,40,29,
-111.108295405548,34.5868318215256,24621,AZ3455711116020180427,Initial,803603620180406,803603620180508,-970,80,245,540,34.59,-111.11,Wildfire,TINDER,-150,2018/04/27 00:00:00+00,16083,5541E556-000A-4C9C-B90E-8E92591E8B06,10012821,MTBS,,56,9,
-110.959251483025,34.5545861014593,24622,AZ3456511095220180717,Initial,803603620170825,803603620180828,-970,55,230,9999,34.559,-110.959,Wildfire,GRAMA,-150,2018/07/17 00:00:00+00,2085,5E000E29-6397-4832-9196-D67F2C4DD373,10012832,MTBS,,23,9,
-110.841686968025,34.5869429464586,24623,AZ3461611082220180724,Initial,803603620170825,803603620180812,-970,70,250,340,34.578,-110.84,Wildfire,RANCH,-150,2018/07/24 00:00:00+00,4058,D5D83902-3120-41DE-B3C5-2A61A4C40951,10012834,MTBS,,6,23,
-112.348539643257,34.6798719999493,24624,AZ3468811236620180511,Initial,803703620180429,803703620180515,-970,50,9999,9999,34.693,-112.343,Wildfire,VIEWPOINT,-150,2018/05/11 00:00:00+00,5389,8199318C-E425-4D78-A5B7-812145095618,10012776,MTBS,,5,10,
